Codigo do Item,Descrição do Item,Marca,País de Origem,Produtor,Tipo de Vinho,Safra,Preço,Desconto Máximo,Tipo de Garrafa,Estoque Atual,GTIN Un.,GTIN Cod. Barra,DUN Un.,DUN Cod. Barra,Região de Origem,Tipo de Uva,Percentual IPI,UPDATED_AT,Valor em Real,Valor com desconto,col_22
37514,DOMAINE GEVREY CHAMBERTIN PREMIER CRU AOC - CHAMPEAUX TRES VIEILLES VIGNES 2020 (TTO) (DOMAINE DUGAT-PY),Mistral,França,DOMAINE DUGAT-PY,Tinto,2020,999,15,750ml,23,GF,0097985152046,CAIXA C/6,20097985152040,Bourgogne,Pinot Noir,6.5,2026/01/16 08:00:02.963000000,5379.2154,5364.2154,
37515,DOMAINE GEVREY CHAMBERTIN PREMIER CRU AOC - CHAMPEAUX TRES VIEILLES VIGNES 2021 (TTO) (DOMAINE DUGAT-PY),Mistral,França,DOMAINE DUGAT-PY,Tinto,2021,999,15,750ml,11,GF,0097985152046,CAIXA C/6,20097985152040,Bourgogne,Pinot Noir,6.5,2026/01/16 08:00:02.963000000,5379.2154,5364.2154,
37516,DOMAINE DUGAT-PY - CHARMES CHAMBERTIN GRAND CRU VIEILLES VIGNES AOP 2021 (TTO) (DOMAINE DUGAT-PY),Mistral,França,DOMAINE DUGAT-PY,Tinto,2021,1729,15,750ml,11,GF,0097985152008,CAIXA C/6,20097985152002,Bourgogne,Pinot Noir,6.5,2026/01/16 08:00:02.963000000,9309.973399999999,9294.973399999999,
37521,DOMAINE ROBERT GROFFIER BOURGOGNE PASSETOUTGRAIN AOC 2021 (TTO) (DOMAINE ROBERT GROFFIER),Mistral,França,DOMAINE ROBERT GROFFIER,Tinto,2021,156.9,15,750ml,18,GF,0097985152961,,,Bourgogne,Pinot Noir (70%) e Gamay (30%),6.5,2026/01/16 08:00:02.963000000,844.84374,829.84374,
37522,DOMAINE ROBERT GROFFIER BOURGOGNE AOC PINOT NOIR 2020 (TTO) (DOMAINE ROBERT GROFFIER),Mistral,França,DOMAINE ROBERT GROFFIER,Tinto,2020,199.5,15,750ml,32,GF,0097985159823,,,Bourgogne,Pinot Noir (100%),6.5,2026/01/16 08:00:02.963000000,1074.2277,1059.2277,
38243,CATENA MALBEC ROSE 2024 (ROS) (CATENA ZAPATA),Mistral,Argentina,CATENA ZAPATA,Rosado,2024,34.5,35,750ml,4260,GF,7794450946171,CAIXA C/12,37794450946172,Mendoza,"Malbec, Syrah e Grenache",6.5,2026/01/16 08:00:02.963000000,185.7687,150.7687,
37524,GEVREY CHAMBERTIN AOC 2020 (DOMAINE ROBERT GROFFIER - LES SEUVREES) (TTO) (DOMAINE ROBERT GROFFIER),Mistral,França,DOMAINE ROBERT GROFFIER,Tinto,2020,439.9,15,750ml,35,GF,0097985159830,,,Bourgogne,Pinot Noir (100%),6.5,2026/01/16 08:00:02.963000000,2368.68554,2353.68554,
37525,GEVREY CHAMBERTIN AOC 2021 (DOMAINE ROBERT GROFFIER - LES SEUVREES) (TTO) (DOMAINE ROBERT GROFFIER),Mistral,França,DOMAINE ROBERT GROFFIER,Tinto,2021,599.9,15,750ml,17,GF,0097985159830,,,Bourgogne,Pinot Noir (100%),6.5,2026/01/16 08:00:02.963000000,3230.2215399999995,3215.2215399999995,
37526,CHAMBOLLE MUSIGNY AOC 2020 (1ER CRU - DOMAINE ROBERT GROFFIER - LES HAUTS DOIX) (TTO) (DOMAINE ROBERT GROFFIER),Mistral,França,DOMAINE ROBERT GROFFIER,Tinto,2020,879,15,750ml,34,GF,0097985159458,,,Bourgogne,Pinot Noir (100%),6.5,2026/01/16 08:00:02.963000000,4733.0634,4718.0634,
37527,CHAMBOLLE MUSIGNY AOC 2021 (1ER CRU - DOMAINE ROBERT GROFFIER - LES HAUTS DOIX) (TTO) (DOMAINE ROBERT GROFFIER),Mistral,França,DOMAINE ROBERT GROFFIER,Tinto,2021,959,15,750ml,17,GF,0097985159458,,,Bourgogne,Pinot Noir (100%),6.5,2026/01/16 08:00:02.963000000,5163.8314,5148.8314,
37528,CHAMBOLLE MUSIGNY AOC 2020 (1ER CRU - DOMAINE ROBERT GROFFIER - LES SENTIERS) (TTO) (DOMAINE ROBERT GROFFIER),Mistral,França,DOMAINE ROBERT GROFFIER,Tinto,2020,899,15,750ml,34,GF,0097985159847,,,Bourgogne,Pinot Noir (100%),6.5,2026/01/16 08:00:02.963000000,4840.7554,4825.7554,
37529,CHAMBOLLE MUSIGNY AOC 2021 (1ER CRU - DOMAINE ROBERT GROFFIER - LES SENTIERS) (TTO) (DOMAINE ROBERT GROFFIER),Mistral,França,DOMAINE ROBERT GROFFIER,Tinto,2021,899,15,750ml,17,GF,0097985159847,,,Bourgogne,Pinot Noir (100%),6.5,2026/01/16 08:00:02.963000000,4840.7554,4825.7554,
37531,BONNES MARES AOC 2021 (GRAND CRU - DOMAINE ROBERT GROFFIER) (TTO) (DOMAINE ROBERT GROFFIER),Mistral,França,DOMAINE ROBERT GROFFIER,Tinto,2021,2999,15,750ml,5,GF,0097985153623,,,Bourgogne,Pinot Noir (100%),6.5,2026/01/16 08:00:02.963000000,16148.4154,16133.4154,
37532,CHAMBOLLE MUSIGNY AOC 2020 (1ER CRU - DOMAINE ROBERT GROFFIER - LES AMOUREUSES) (TTO) (DOMAINE ROBERT GROFFIER),Mistral,França,DOMAINE ROBERT GROFFIER,Tinto,2020,1999,15,750ml,1,GF,0097985152978,,,Bourgogne,Pinot Noir (100%),6.5,2026/01/16 08:00:02.963000000,10763.8154,10748.8154,
37533,CHAMBOLLE MUSIGNY AOC 2021 (1ER CRU - DOMAINE ROBERT GROFFIER - LES AMOUREUSES) (TTO) (DOMAINE ROBERT GROFFIER),Mistral,França,DOMAINE ROBERT GROFFIER,Tinto,2021,2999,15,750ml,5,GF,0097985152978,,,Bourgogne,Pinot Noir,6.5,2026/01/16 08:00:02.963000000,16148.4154,16133.4154,
37534,LES HERITIERS DU COMTE LAFON - VIRE CLESSE AOC 2021 (BCO) (LES HERITIERS DU COMTE LAFON),Mistral,França,LES HÉRITIERS DU COMTE LAFON,Branco Seco,2021,107.5,25,750ml,23,GF,0097985150257,CAIXA C/12,10097985150254,Bourgogne,,6.5,2026/01/16 08:00:02.963000000,578.8444999999999,553.8444999999999,
37535,LES HERITIERS DU COMTE LAFON - SAINT VERAN AOC 2021 (BCO)(LES HERITIERS DU COMTE LAFON),Mistral,França,LES HÉRITIERS DU COMTE LAFON,Branco,2021,107.5,25,750ml,3,GF,0097985155429,CAIXA C/12,10097985155921,Bourgogne,Chardonnay (100%),6.5,2026/01/16 08:00:02.963000000,578.8444999999999,553.8444999999999,
